item_no,Main,Sub,Final,Thickness,Specifications,Size,Length,Width,Height,Cost,R_S_B,Sq_inch_cost,Shipping Cost,Sq. Inch $ w/shipping,Supplier,lead_time
MPE28600S04872W0MI,Closed Cell Foam,Expanded Polyethylene,EPE (2.8#) White,"2.000"" thick",FMVSS 302,"48"" x 72""",72,48,,$76.68,(S),$0.0222,$0.0011,$0.0233,Packaging Products,3-5 days
C4-6140-062-36-60D,Rubber Base,EPDM (Premium) Elastomer,EPDM (60 Duro) Black #6140,".062"" thick",Temp range -30 degree F to 200 degree F continuous,"36"" x 600""",600,36,,$122.40,(R),$0.0057,$0.0003,$0.0060,Thermodyn,3-5 days
C4-6140-125-36-60D,Rubber Base,EPDM (Premium) Elastomer,EPDM (60 Duro) Black #6140,".125"" thick",Temp range -30 degree F to 200 degree F continuous,"36"" x 600""",600,36,,$244.80,(R),$0.0113,$0.0006,$0.0119,Thermodyn,3-5 days
C5-6140P-125-36-60D,Rubber Base,EPDM (Peroxide Cure) Elastomer,EPDM (60 Duro) Peroxide Cure Black #6140P,".125"" thick",Temp range -30 degree F to 300 degree F continuous,"36"" x 600""",600,36,,$295.80,(R),$0.0137,$0.0007,$0.0144,Thermodyn,3-5 days
C1-6100-062-36-60D,Rubber Base,Neoprene (CR)/Polychloroprene,Neoprene/Polychloroprene (60 Duro) Black #6100,".062"" thick",Temp range -20 degree F to 170 degree F continuous,"36"" x 600""",600,36,,$85.00,(R),$0.0039,$0.0002,$0.0041,Thermodyn,3-5 days
C1-6100-125-36-60D,Rubber Base,Neoprene (CR)/Polychloroprene,Neoprene/Polychloroprene (60 Duro) Black #6100,".125"" thick",Temp range -20 degree F to 170 degree F continuous,"36"" x 600""",600,36,,$170.00,(R),$0.0079,$0.0004,$0.0083,Thermodyn,3-5 days
20-6300-062-36-LF,Rubber Base,Viton Fluoroelastomer,Viton (75 Duro) Black #TD-70C,".062"" thick","ASTM D 2000 HK710 A1-10, B38,EF31, F15, Z1, Temp range -20 degree F to 400 degree F continuous","36"" x 600""",600,36,,"$1,533.50",(R),$0.0710,$0.0035,$0.0745,Thermodyn,3-5 days
20-6300-125-36-LF,Rubber Base,Viton Fluoroelastomer,Viton (75 Duro) Black #TD-70C,".125"" thick","ASTM D 2000 HK710 A1-10, B38,EF31, F15, Z1, Temp range -20 degree F to 400 degree F continuous","36"" x 600""",600,36,,"$3,050.00",(R),$0.1412,$0.0071,$0.1483,Thermodyn,3-5 days
31-6720-062-36-50D,Rubber Base,Silicone (MQ) Elastomer,Silicone (50 Duro) Red/Orange #6720,".062"" thick","ZZR-765 CL2A/B GR 60, ASTM D2000-99 M 1 GE 605, SAE AMS-3303, Temp range -80 degree F to 450 degree F","36"" x 600""",600,36,,$299.00,(R),$0.0138,$0.0007,$0.0145,Thermodyn,3-5 days
31-6720-125-36-50D,Rubber Base,Silicone (MQ) Elastomer,Silicone (50 Duro) Red/Orange #6720,".125"" thick","ZZR-765 CL2A/B GR 60, ASTM D2000-99 M 1 GE 605, SAE AMS-3303, Temp range -80 degree F to 450 degree F","36"" x 600""",600,36,,$543.00,(R),$0.0251,$0.0013,$0.0264,Thermodyn,3-5 days
31-6720-062-36-60D,Rubber Base,Silicone (MQ) Elastomer,Silicone (60 Duro) Red/Orange #6720,".062"" thick","ZZR-765 CL2A/B GR 60, ASTM D2000-99 M 1 GE 605, SAE AMS-3303, Temp range -80 degree F to 450 degree F","36"" x 600""",600,36,,$299.00,(R),$0.0138,$0.0007,$0.0145,Thermodyn,3-5 days
31-6720-125-36-60D,Rubber Base,Silicone (MQ) Elastomer,Silicone (60 Duro) Red/Orange #6720,".125"" thick","ZZR-765 CL2A/B GR 60, ASTM D2000-99 M 1 GE 605, SAE AMS-3303, Temp range -80 degree F to 450 degree F","36"" x 600""",600,36,,$543.00,(R),$0.0251,$0.0013,$0.0264,Thermodyn,3-5 days
W6720-062-36-60D,Rubber Base,Silicone (FDA) Elastomer,Silicone-FDA (60 Duro) White #6735,".062"" thick","21 CFR 177.2600 compliance, Temp range -55 degree C to 300 degree C","36"" x 600""",600,36,,$320.00,(R),$0.0148,$0.0007,$0.0156,Thermodyn,3-5 days
22-6200-062-42-LF,Cork,Cork/Neoprene,Cork/Neoprene-Black,".062"" thick",Temp range 250 degree F maximum,"42"" x 1200""",1200,42,,$350.00,(R),$0.0069,$0.0003,$0.0073,Thermodyn,3-5 days
22-6200-125-42-LF,Cork,Cork/Neoprene,Cork/Neoprene-Black,".125"" thick",Temp range 250 degree F maximum,"42"" X 600""",600,42,,$350.00,(R),$0.0139,$0.0007,$0.0146,Thermodyn,3-5 days
23-6210-062-42-LF,Cork,Cork/Buna Nitrile,Cork/Buna Nitrile-Black,".062"" thick",Temp range 250 degree F maximum,"42"" x 1200""",1200,42,,$390.00,(R),$0.0077,$0.0004,$0.0081,Thermodyn,3-5 days
23-6210-125-42-LF,Cork,Cork/Buna Nitrile,Cork/Buna Nitrile-Black,".125"" thick",Temp range 250 degree F maximum,"42"" X 600""",600,42,,$385.00,(R),$0.0153,$0.0008,$0.0160,Thermodyn,3-5 days
.125 4701-40-20125,Closed Cell Foam,Poron (Polyurothene),4701-40 Soft Black,".125"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" x 216""",216,54,,$204.93,(R),$0.0176,$0.0009,$0.0184,Stockwell Elastomerics,1-3 days
.250 4701-40-15250,Closed Cell Foam,Poron (Polyurothene),4701-40 Soft Black,".250"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" x 156""",156,54,,$211.19,(R),$0.0251,$0.0013,$0.0263,Stockwell Elastomerics,1-3 days
.375 4701-40-15375,Closed Cell Foam,Poron (Polyurothene),4701-40 Soft Black,".375"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" X 120""",120,54,,$208.35,(R),$0.0322,$0.0016,$0.0338,Stockwell Elastomerics,1-3 days
.125 4701-50-20125,Closed Cell Foam,Poron (Polyurothene),4701-50 Firm Black,".125"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" x 216""",216,54,,$211.41,(R),$0.0181,$0.0009,$0.0190,Stockwell Elastomerics,1-3 days
.250 4701-50-15250,Closed Cell Foam,Poron (Polyurothene),4701-50 Firm Black,".250"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" x 156""",156,54,,$219.38,(R),$0.0260,$0.0013,$0.0273,Stockwell Elastomerics,1-3 days
.375 4701-50-15375,Closed Cell Foam,Poron (Polyurothene),4701-50 Firm Black,".375"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" X 120""",120,54,,$211.95,(R),$0.0327,$0.0016,$0.0343,Stockwell Elastomerics,1-3 days
.125 4701-60-20125,Closed Cell Foam,Poron (Polyurothene),4701-60 Very Firm Black,".125"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" x 216""",216,54,,$264.06,(R),$0.0226,$0.0011,$0.0238,Stockwell Elastomerics,1-3 days
.250 4701-60-15250,Closed Cell Foam,Poron (Polyurothene),4701-60 Very Firm Black,".250"" thick",SAE-J 1756; FMVSS302; WSS-M99P48; GMW 18067; MS-AY-549,"54"" X 120""",120,54,,$204.75,(R),$0.0316,$0.0016,$0.0332,Stockwell Elastomerics,1-3 days
Marvesbond 600gsm .394,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 600 gsm Multi Colored,".394"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$70.66,(R),$0.0010,$0.0001,$0.0011,Marves,2 weeks
Marvesbond 700gsm .590,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 700 gsm Multi Colored,".590"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$82.18,(R),$0.0011,$0.0001,$0.0012,Marves,2 weeks
Marvesbond 800gsm .787,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 800 gsm Multi Colored,".787"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$91.54,(R),$0.0013,$0.0001,$0.0014,Marves,2 weeks
Marvesbond 900gsm 1.000,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 900 gsm Multi Colored,"1.000"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$98.74,(R),$0.0014,$0.0001,$0.0015,Marves,2 weeks
Marvesbond 1000gsm 1.181,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 1000 gsm Multi Colored,"1.181"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$109.54,(R),$0.0015,$0.0001,$0.0016,Marves,2 weeks
Marvesbond 1100gsm 1.378,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 1100 gsm Multi Colored,"1.378"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$120.34,(R),$0.0017,$0.0001,$0.0018,Marves,2 weeks
Marvesbond 1200gsm 1.575,Acoustic Fiber,Marvesbond Acoustic Fiber (Shoddy),Shoddy/Reclaimed Fiber 1200 gsm Multi Colored,"1.575"" thick",WSK-M99G145-C1/C2/C3; WSS-M99P32-C/D1/E1; GMW14194 Type 1; MS-HZ-100; TSL3505G Class C1,"60"" x 1200""",1200,60,,$131.14,(R),$0.0018,$0.0001,$0.0019,Marves,2 weeks
"Corrugated Plastic 48"" x 96"" 3mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic Blue,".118"" thick",FMVSS 302,"48"" x 96""",96,48,,$6.34,(S),$0.0014,$0.0001,$0.0014,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 3mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic Black,".118"" thick",FMVSS 302,"48"" x 96""",96,48,,$6.34,(S),$0.0014,$0.0001,$0.0014,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 3mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic White,".118"" thick",FMVSS 302,"48"" x 96""",96,48,,$6.34,(S),$0.0014,$0.0001,$0.0014,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 5mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic Blue,".197"" thick",FMVSS 302,"48"" x 96""",96,48,,$10.08,(S),$0.0022,$0.0001,$0.0023,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 5mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic Black,".197"" thick",FMVSS 302,"48"" x 96""",96,48,,$10.08,(S),$0.0022,$0.0001,$0.0023,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 5mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic White,".197"" thick",FMVSS 302,"48"" x 96""",96,48,,$10.08,(S),$0.0022,$0.0001,$0.0023,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 8mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic Blue,".315"" thick",FMVSS 302,"48"" x 96""",96,48,,$19.87,(S),$0.0043,$0.0002,$0.0045,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 8mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic Black,".315"" thick",FMVSS 302,"48"" x 96""",96,48,,$19.87,(S),$0.0043,$0.0002,$0.0045,CoolSeal U.S.A,2 weeks
"Corrugated Plastic 48"" x 96"" 8mm thick",Plastic,Polypropylene (Corrugated),Corrugated Plastic White,".315"" thick",FMVSS 302,"48"" x 96""",96,48,,$19.87,(S),$0.0043,$0.0002,$0.0045,CoolSeal U.S.A,2 weeks
.040 Black Polypropylene,Plastic,Polypropylene (PP),Polypropylene (PP) Smooth Black,".040"" thick",FMVSS 302,"48"" x 48""",48,48,,$3.34,(S),$0.0014,$0.0001,$0.0015,Wolverine Auto Board Sales,3-4 weeks
.060 Black Polypropylene,Plastic,Polypropylene (PP),Polypropylene (PP) Smooth Black,".060"" thick",FMVSS 302,"48"" x 48""",48,48,,$5.01,(S),$0.0022,$0.0001,$0.0023,Wolverine Auto Board Sales,3-4 weeks
.040 White Polypropylene,Plastic,Polypropylene (PP),Polypropylene (PP) Smooth White,".040"" thick",FMVSS 302,"48"" x 48""",48,48,,$4.26,(S),$0.0018,$0.0001,$0.0019,Wolverine Auto Board Sales,3-4 weeks
.060 White Polypropylene,Plastic,Polypropylene (PP),Polypropylene (PP) Smooth White,".060"" thick",FMVSS 302,"48"" x 48""",48,48,,$6.41,(S),$0.0028,$0.0001,$0.0029,Wolverine Auto Board Sales,3-4 weeks
.060 V2 Board,Fiberboard,Valdor 2 Fiberboard,Valdor 2 Fiberboard (Softboard) Tan,".060"" thick",SAE-J1323,"48"" x 48""",48,48,,$4.50,(S),$0.0020,$0.0001,$0.0021,Wolverine Auto Board Sales,3-4 weeks
.080 V2 Board,Fiberboard,Valdor 2 Fiberboard,Valdor 2 Fiberboard (Softboard) Tan,".080"" thick",SAE-J1323,"48"" x 48""",48,48,,$4.33,(S),$0.0019,$0.0001,$0.0020,Wolverine Auto Board Sales,3-4 weeks
.100 V2 Board,Fiberboard,Valdor 2 Fiberboard,Valdor 2 Fiberboard (Softboard) Tan,".100"" thick",SAE-J1323,"48"" x 48""",48,48,,$4.72,(S),$0.0021,$0.0001,$0.0022,Wolverine Auto Board Sales,3-4 weeks
.120 V2 Board,Fiberboard,Valdor 2 Fiberboard,Valdor 2 Fiberboard (Softboard) Tan,".120"" thick",SAE-J1323,"48"" x 48""",48,48,,$5.19,(S),$0.0023,$0.0001,$0.0024,Wolverine Auto Board Sales,3-4 weeks
.075 Sized Black 2/s,Fiberboard,Fiberboard Black,Fiberboard (Sized) 2-sides Black,".075"" thick",SAE-J1323,"48"" x 48""",48,48,,$4.27,(S),$0.0019,$0.0001,$0.0019,Wolverine Auto Board Sales,3-4 weeks
.100 Sized Black 2/s,Fiberboard,Fiberboard Black,Fiberboard (Sized) 2-sides Black,".100"" thick",SAE-J1323,"48"" x 48""",48,48,,$5.04,(S),$0.0022,$0.0001,$0.0023,Wolverine Auto Board Sales,3-4 weeks
.044 Chip Board,Fiberboard,Chipboard,Chipboard (Standard) Tan,".044"" thick",SAE-J1323,"48"" x 48""",48,48,,$2.37,(S),$0.0010,$0.0001,$0.0011,Wolverine Auto Board Sales,3-4 weeks
.060 Chip Board,Fiberboard,Chipboard,Chipboard (Standard) Tan,".060"" thick",SAE-J1323,"48"" x 48""",48,48,,$2.47,(S),$0.0011,$0.0001,$0.0011,Wolverine Auto Board Sales,3-4 weeks
.080 Chip Board,Fiberboard,Chipboard,Chipboard (Standard) Tan,".080"" thick",SAE-J1323,"48"" x 48""",48,48,,$2.80,(S),$0.0012,$0.0001,$0.0013,Wolverine Auto Board Sales,3-4 weeks
.120 Chip Board,Fiberboard,Chipboard,Chipboard (Standard) Tan,".120"" thick",SAE-J1323,"48"" x 48""",48,48,,$3.46,(S),$0.0015,$0.0001,$0.0016,Wolverine Auto Board Sales,3-4 weeks
56646RC60S,Adhesive (Supported),FT8397 Adhesive (Arcylic/Arcylic),FT8397 Adhesive (2.7 Mils),2.7 mils,GMW16443 T1 & T2; MS-AY518 B1/B2; MS-AY522 B1; WSB-M3G224-A;VOLVO STD-104-0001,"54"" x 6480""",6480,54,,$605.36,(R),$0.0017,$0.0001,$0.0018,Avery,7 days
57415RB60S,Adhesive (Free Film),FT1126 Adhesive (Transfer Arcylic),FT1126 Adhesive (5.2 Mils),5.2 mils,GMW16879 T1; GMW16443 T1 & T2; GMW16875 T1A; Calsonic EMS 477; GM9985281; TSK6505G 2B1; TSK6505G 2A1; MS-AY 522 B1; MS-CC255; MS-CB134; MS-JZ-8-22; ESB-M3G76 B2; ESB-M3G123-B; ESB-M6G17-A; ESB-M11P8-A; WSB-M3G102-B; Wss-M11P62-A; WSS-M99P48; INTEVA MX650011 T3,"60"" x 6480""",6480,60,,"$1,174.18",(R),$0.0030,$0.0002,$0.0032,Avery,23 days
574180060S,Adhesive (Supported),FT8392 Adhesive (Rubber/Arcylic),FT8392 Adhesive (3.3 Mils),3.3 mils,GMW16443 T1 & T2; GMCH MSP 200062; GM9985281; TSK-6712G-1A30-N-LT; TSK-6505G 2A1/2B1; TSM0500G; MS-AY301 B1/B2/C1/C2; MS-AY500; MS.90075; WSS-M99P48; ESB-M3G76-B2; ESB-M11P8-A; ESH-M4D291-E; ESH-M11P19-B; ESH-M11P40-A; WSA-M11P19-C; WSS-M11P62-A; SD2-324; VOLVO STD 104-001; INTEVA MX650011 T3& T4,"60"" x 9000""",9000,60,,"$1,312.20",(R),$0.0024,$0.0001,$0.0026,Avery,23 days
561280060S,Adhesive (Supported),FT8217 Adhesive (Arcylic/Arcylic),FT8217 Adhesive (5.3 Mils),5.3 mils,GMW16443 T1 & T2; TSK-6505G 2A1; TSK-5702G 1; TSK-5702G 2; TSK-5702G 3; WSS-M99P48; WSS-M11P62-P; MS-JZ-8-22; MS-AY522 B1; WSB-M3G224-A; GM9985281,"60"" x 9000""",9000,60,,"$1,711.80",(R),$0.0032,$0.0002,$0.0033,Avery,7 days
FT-5477,Flock,Flock (Nylon),Flock FT-5477 Black,".040"" thick",ESB-M617-A; GM16875,"54"" x 1200""",1200,54,,$4.75,(R),$0.0024,$0.0001,$0.0026,Flock Tex,3-4 weeks
FT-5581,Flock,Flock (Nylon),Flock FT-5581 Natural (White),".040"" thick",GM6420 TYPE 1B,"54"" x 1200""",1200,54,,$4.75,(R),$0.0024,$0.0001,$0.0026,Flock Tex,3-4 weeks
Diamondback PP-.35 mm,Scrim,Scrim (Diamondback) Polypropylene,Scrim (Diamondback) Polypropylene Black,".014"" thick",FMVSS302,"60"" x 9000""",9000,60,,$272.50,(R),$0.0005,$0.0001,$0.0006,Sutherland Felt,3 days
Diamondback PP-.35 mm,Scrim,Scrim (Diamondback) Polypropylene,Scrim (Diamondback) Polypropylene White,".014"" thick",FMVSS302,"60"" x 9000""",9000,60,,$272.50,(R),$0.0005,$0.0001,$0.0006,Sutherland Felt,3 days
PE 6.5-60 (200 gsm),Felt,Felt (Polyester Nonwoven),Felt 200 gsm Black,".040"" thick",FMVSS302,"60"" x 3600""",3600,60,,$239.00,(R),$0.0011,$0.0001,$0.0012,Sutherland Felt,3 days
PE 6.5-60 (200 gsm),Felt,Felt (Polyester Nonwoven),Felt 200 gsm White,".040"" thick",FMVSS302,"60"" x 3600""",3600,60,,$239.00,(R),$0.0011,$0.0001,$0.0012,Sutherland Felt,3 days
PE 15-60 (400 gsm),Felt,Felt (Polyester Nonwoven),Felt 400 gsm Black,".080"" thick",FMVSS302,"60"" x 3600""",3600,60,,$319.00,(R),$0.0015,$0.0001,$0.0016,Sutherland Felt,3 days
PE 15-60 (400 gsm),Felt,Felt (Polyester Nonwoven),Felt 400 gsm White,".080"" thick",FMVSS302,"60"" x 3600""",3600,60,,$319.00,(R),$0.0015,$0.0001,$0.0016,Sutherland Felt,3 days
PE 23-60 (650 gsm),Felt,Felt (Polyester Nonwoven),Felt 650 gsm Black,".125"" thick",FMVSS302,"60"" x 1800""",1800,60,,$278.50,(R),$0.0026,$0.0001,$0.0027,Sutherland Felt,3 days
PE 24-60 (814 gsm),Felt,Felt (Polyester Nonwoven),Felt 814 gsm White,".125"" thick",FMVSS302,"60"" x 3600""",3600,60,,$680.00,(R),$0.0031,$0.0002,$0.0033,Sutherland Felt,3 days
PE 25-60 (780 gsm),Felt,Felt (Polyester Nonwoven),Felt 780 gsm Black,".157"" thick",FMVSS302,"60"" x 1800""",1800,60,,$321.00,(R),$0.0030,$0.0001,$0.0031,Sutherland Felt,3 days
PE 22-60 (742 gsm),Felt,Felt (Polyester Nonwoven),Felt 742 gsm White,".157"" thick",FMVSS302,"72"" X 1800""",1800,72,,$370.00,(R),$0.0029,$0.0001,$0.0030,Sutherland Felt,3 days
PE 30-60 (1000 gsm),Felt,Felt (Polyester Nonwoven),Felt 1000 gsm Black,".197"" thick",FMVSS302,"60"" x 1800""",1800,60,,$439.50,(R),$0.0041,$0.0002,$0.0043,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Cardinal Red,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Denim Blue,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Fern Green,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Marigold,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Northwood Brown,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Camel,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 24oz",Felt,Wool Felt (100% Pure),Wool Felt 800 gsm Graphite,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
"100% Wool 60"" - 32oz",Felt,Wool Felt (100% Pure),Wool Felt 1085 gsm Black,".125"" thick",FMVSS302,"60"" x 324""",324,60,,$651.60,(R),$0.0335,$0.0017,$0.0352,Sutherland Felt,3 days
Designer Board Felt DB-01 SAND DOLLAR,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Sand Dollar,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-02 OAT,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Oat,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-03 MARBLE,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Marble,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-05 WHITE,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm White,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-06 PERIWINKLE,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Periwinkle,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-07 SALMON,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Salmon,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-08 LEMON,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Lemon,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-09 YELLOW,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Yellow,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-10 RED,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Red,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-11 BERRY,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Berry,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-12 PINK,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Pink,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-13 LILAC,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Lilac,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-14 VIOLET,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Violet,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-15 PURPLE,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Purple,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-16 ORANGE,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Orange,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-17 PUMPKIN,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Pumpkin,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-18 MAROON,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Maroon,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-19 PEAR,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Pear,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
Designer Board Felt DB-20 LIME,Felt,Felt Designer Board (Firm Polyester),Felt Designer Board 1500 gsm Lime,".354"" thick",FMVSS302,"48"" x 96""",96,48,,$80.00,(S),$0.0174,$0.0009,$0.0182,Sutherland Felt,3 days
